,Cumulative number of case(s),Number of deaths,Number recovered
864,7,2,5
865,6,0,6
866,54,0,24
867,63,5,58
868,2,0,2
869,1,0,0
870,148,22,93
871,4280,206,1433
872,1637,187,930
873,1,0,0
874,116,8,25
875,5,0,4
876,7,0,7
877,2,0,1
878,9,0,4
879,1,0,1
880,7,2,4
881,8,0,4
882,1,0,1
883,3,2,1
884,1,0,0
885,1,0,1
886,1,0,0
887,1,0,1
888,204,26,149
889,1,1,0
890,1,0,1
891,3,0,2
892,1,0,1
893,7,2,5
894,6,0,6
895,61,0,26
896,63,5,58
897,2,0,2
898,1,0,0
899,148,22,93
900,4409,214,1460
901,1646,193,958
902,1,0,0
903,116,10,25
904,1,0,1
905,5,0,4
906,7,0,7
907,1,0,0
908,2,0,1
909,9,0,4
910,1,0,1
911,7,2,4
912,8,0,4
913,1,0,1
914,3,2,1
915,1,0,0
916,1,0,1
917,1,0,0
918,1,0,1
919,204,27,149
920,1,1,0
921,1,0,1
922,3,0,2
923,1,0,1
924,7,2,5
925,6,0,6
926,65,0,32
927,63,5,58
928,2,0,2
929,1,0,0
930,146,22,93
931,4560,219,1487
932,1654,204,984
933,1,0,0
934,125,11,26
935,1,0,1
936,6,0,4
937,8,0,7
938,1,0,0
939,2,0,1
940,9,0,5
941,1,0,1
942,7,2,4
943,9,0,6
944,1,0,1
945,10,2,2
946,1,0,0
947,1,0,1
948,1,0,0
949,1,0,1
950,204,27,150
951,1,1,0
952,1,0,1
953,3,0,2
954,1,0,1
955,7,2,5
956,6,0,6
957,65,0,32
958,63,5,58
959,2,0,2
960,1,0,0
961,146,22,95
962,4698,224,1529
963,1661,208,1008
964,1,0,0
965,131,13,26
966,1,0,1
967,1,0,0
968,6,0,4
969,8,0,7
970,1,0,0
971,2,0,1
972,9,0,6
973,1,0,1
974,7,2,4
975,9,0,6
976,1,0,1
977,10,2,2
978,1,0,0
979,1,0,1
980,1,0,1
981,1,0,1
982,204,27,153
983,1,1,0
984,1,0,1
985,3,0,2
986,1,0,1
987,7,2,5
988,6,0,6
989,63,0,33
990,63,5,58
991,2,0,2
992,1,0,0
993,145,22,94
994,4805,230,1582
995,1667,210,1015
996,1,0,0
997,149,13,26
998,1,0,1
999,1,0,0
1000,6,0,4
1001,9,0,9
1002,1,0,0
1003,2,0,1
1004,9,0,9
1005,1,0,1
1006,6,2,4
1007,9,0,6
1008,1,0,1
1009,10,2,2
1010,1,0,0
1011,1,0,1
1012,1,0,1
1013,1,0,1
1014,204,27,153
1015,1,1,0
1016,1,0,1
1017,3,0,2
1018,1,0,1
1019,7,2,5
1020,6,0,6
1021,63,0,33
1022,63,5,58
1023,2,0,2
1024,1,0,0
1025,145,22,97
1026,4884,235,1620
1027,1674,212,1035
1028,1,0,0
1029,172,18,26
1030,1,0,1
1031,1,0,0
1032,7,0,4
1033,9,0,9
1034,1,0,0
1035,2,0,1
1036,9,0,9
1037,1,0,1
1038,7,2,4
1039,9,0,6
1040,1,0,1
1041,10,2,2
1042,1,0,0
1043,1,0,1
1044,1,0,1
1045,1,0,1
1046,205,27,155
1047,1,1,0
1048,1,0,1
1049,3,0,2
1050,1,0,1
1051,7,2,5
1052,6,0,6
1053,64,0,34
1054,63,5,58
1055,2,0,2
1056,1,0,0
1057,143,22,98
1058,5013,252,1693
1059,1683,218,1066
1060,1,0,0
1061,184,20,26
1062,1,0,1
1063,1,0,0
1064,7,0,4
1065,9,0,9
1066,1,0,0
1067,2,0,1
1068,9,0,8
1069,1,0,1
1070,7,2,4
1071,9,0,6
1072,1,0,1
1073,10,2,3
1074,1,0,0
1075,1,0,1
1076,2,0,1
1077,1,0,1
1078,205,28,156
1079,1,1,0
1080,1,0,1
1081,3,0,2
1082,1,0,1
1083,7,2,5
1084,6,0,6
1085,64,0,34
1086,63,5,58
1087,2,0,2
1088,1,0,0
1089,143,22,99
1090,5086,262,1765
1091,1689,225,1090
1092,1,0,0
1093,207,24,30
1094,1,0,1
1095,1,0,0
1096,7,0,4
1097,9,0,9
1098,3,0,0
1099,2,0,1
1100,9,0,9
1101,1,0,1
1102,7,2,4
1103,9,0,6
1104,1,0,1
1105,10,2,3
1106,1,0,1
1107,2,0,1
1108,1,0,1
1109,205,28,157
1110,1,1,0
1111,1,0,1
1112,3,0,3
1113,1,0,1
1114,7,2,5
1115,4,0,4
1116,64,0,35
1117,63,5,58
1118,2,0,2
1119,1,0,0
1120,143,23,104
1121,5124,267,1811
1122,1698,227,1128
1123,1,0,0
1124,238,30,38
1125,1,0,1
1126,1,0,0
1127,7,0,4
1128,9,0,9
1129,3,0,0
1130,2,0,2
1131,9,0,9
1132,1,0,1
1133,7,2,5
1134,9,0,6
1135,1,0,1
1136,10,2,3
1137,1,0,1
1138,3,0,1
1139,1,0,1
1140,205,28,157
1141,1,1,0
1142,1,0,1
1143,3,0,3
1144,1,0,1
1145,8,2,5
1146,4,0,4
1147,64,0,35
1148,63,5,58
1149,2,0,2
1150,1,0,0
1151,142,23,107
1152,5163,271,1858
1153,1703,234,1160
1154,1,0,0
1155,264,30,38
1156,1,0,1
1157,1,0,0
1158,7,0,4
1159,9,0,9
1160,3,0,3
1161,2,0,2
1162,9,0,9
1163,1,0,1
1164,7,2,5
1165,9,0,7
1166,1,0,1
1167,12,2,4
1168,1,0,1
1169,3,0,1
1170,1,0,1
1171,205,28,157
1172,1,1,0
1173,1,0,1
1174,3,0,3
1175,1,0,1
1176,8,2,5
1177,4,0,4
1178,64,0,35
1179,63,5,58
1180,2,0,2
1181,1,0,0
1182,140,23,106
1183,5191,275,1947
1184,1706,238,1171
1185,1,0,0
1186,274,35,46
1187,1,0,1
1188,1,0,0
1189,7,0,4
1190,9,0,9
1191,3,0,3
1192,2,0,2
1193,9,0,9
1194,1,0,1
1195,7,2,5
1196,9,0,7
1197,1,0,1
1198,12,2,4
1199,1,0,1
1200,3,0,1
1201,1,0,1
1202,205,28,157
1203,1,1,0
1204,1,0,1
1205,3,0,3
1206,1,0,1
1207,8,2,5
1208,4,0,4
1209,65,0,34
1210,63,5,58
1211,2,0,2
1212,140,23,106
1213,5209,282,2009
1214,1710,243,1191
1215,1,0,0
1216,274,35,46
1217,1,0,1
1218,1,0,0
1219,7,0,6
1220,9,0,9
1221,3,0,3
1222,2,0,2
1223,9,0,9
1224,1,0,1
1225,7,2,5
1226,9,0,7
1227,1,0,1
1228,12,2,4
1229,1,0,1
1230,3,0,1
1231,1,0,1
1232,205,28,157
1233,1,1,0
1234,1,0,1
1235,3,0,3
1236,1,0,1
1237,8,2,5
1238,4,0,4
1239,66,0,34
1240,63,5,58
1241,2,0,2
1242,140,23,106
1243,5236,289,2148
1244,1714,251,1213
1245,1,0,0
1246,344,40,50
1247,1,0,1
1248,1,0,0
1249,7,0,6
1250,9,0,9
1251,3,0,3
1252,2,0,2
1253,9,0,9
1254,1,0,1
1255,7,2,5
1256,9,0,8
1257,1,0,1
1258,12,2,8
1259,1,0,1
1260,3,0,1
1261,1,0,1
1262,206,28,160
1263,1,1,0
1264,1,0,1
1265,3,0,3
1266,1,0,1
1267,8,2,5
1268,4,0,4
1269,67,0,34
1270,63,5,58
1271,2,0,2
1272,140,23,106
1273,5248,294,2254
1274,1718,253,1229
1275,1,0,0
1276,383,52,63
1277,1,0,1
1278,1,0,0
1279,7,0,6
1280,9,0,9
1281,3,0,3
1282,2,0,2
1283,9,0,9
1284,1,0,1
1285,7,2,5
1286,9,0,8
1287,1,0,1
1288,12,2,8
1289,1,0,1
1290,3,0,2
1291,1,0,1
1292,206,28,161
1293,1,1,0
1294,1,0,1
1295,3,0,3
1296,1,0,1
1297,8,2,5
1298,4,0,4
1299,67,0,34
1300,63,5,58
1301,2,0,2
1302,140,23,108
1303,5249,296,2335
1304,1719,255,1237
1305,1,0,0
1306,418,52,71
1307,1,0,1
1308,1,0,1
1309,7,0,6
1310,9,0,9
1311,3,0,3
1312,2,0,2
1313,9,0,9
1314,1,0,1
1315,8,2,5
1316,9,0,8
1317,1,0,1
1318,12,2,10
1319,1,0,1
1320,3,0,2
1321,1,0,1
1322,206,28,161
1323,1,1,0
1324,1,0,1
1325,3,0,3
1326,1,0,1
1327,8,2,5
1328,4,0,4
1329,66,0,33
1330,63,5,58
1331,6,0,6
1332,2,0,2
1333,140,23,109
1334,5271,300,2445
1335,1722,258,1247
1336,2,0,0
1337,483,60,74
1338,1,0,1
1339,1,0,1
1340,7,0,6
1341,9,0,9
1342,3,0,3
1343,2,0,2
1344,9,0,9
1345,1,0,1
1346,8,2,5
1347,9,0,8
1348,1,0,1
1349,12,2,10
1350,1,0,1
1351,3,0,2
1352,1,0,1
1353,206,29,162
1354,1,1,0
1355,1,0,1
1356,3,0,3
1357,1,0,1
1358,8,2,5
1359,4,0,4
1360,65,0,33
1361,63,5,58
1362,2,0,2
1363,140,23,109
1364,5285,303,2544
1365,1724,260,1255
1366,2,0,0
1367,538,60,82
1368,1,0,1
1369,1,0,1
1370,7,0,6
1371,9,0,9
1372,3,0,3
1373,2,0,2
1374,9,0,9
1375,1,0,1
1376,8,2,5
1377,9,0,8
1378,1,0,1
1379,12,2,10
1380,1,0,1
1381,3,0,2
1382,1,0,1
1383,206,31,163
1384,1,1,0
1385,1,0,1
1386,3,0,3
1387,1,0,1
1388,8,2,5
1389,4,0,4
1390,65,0,33
1391,63,5,58
1392,2,0,2
1393,140,23,109
1394,5309,308,2675
1395,1724,262,1266
1396,2,0,0
1397,538,60,82
1398,1,0,1
1399,1,0,1
1400,7,0,6
1401,9,0,9
1402,3,0,3
1403,2,0,2
1404,9,0,9
1405,1,0,1
1406,8,2,5
1407,9,0,8
1408,1,0,1
1409,12,2,10
1410,1,0,1
1411,3,0,2
1412,1,0,1
1413,206,31,163
1414,1,1,0
1415,1,0,1
1416,3,0,3
1417,1,0,1
1418,8,2,5
1419,4,0,4
1420,65,0,33
1421,63,5,58
1422,2,0,2
1423,148,26,110
1424,5316,317,2829
1425,1726,267,1276
1426,2,0,0
1427,585,72,112
1428,1,0,1
1429,1,0,1
1430,7,0,6
1431,9,0,9
1432,3,0,3
1433,2,0,2
1434,9,0,9
1435,1,0,1
1436,5,2,3
1437,9,0,8
1438,1,0,1
1439,12,2,10
1440,1,0,1
1441,3,0,2
1442,1,0,1
1443,206,31,163
1444,1,1,0
1445,1,0,1
1446,3,0,3
1447,1,0,1
1448,8,2,6
1449,4,0,4
1450,65,0,33
1451,63,5,58
1452,2,0,2
1453,148,26,111
1454,5322,321,2944
1455,1728,269,1285
1456,2,0,0
1457,596,76,112
1458,1,0,1
1459,1,0,1
1460,7,0,6
1461,9,0,9
1462,3,0,3
1463,2,0,2
1464,9,0,9
1465,1,0,1
1466,5,2,3
1467,9,0,9
1468,1,0,1
1469,12,2,10
1470,1,0,1
1471,3,0,2
1472,1,0,1
1473,206,31,163
1474,1,1,0
1475,1,0,1
1476,3,0,3
1477,1,0,1
1478,8,2,6
1479,4,0,4
1480,65,0,32
1481,63,5,58
1482,6,0,6
1483,2,0,2
1484,149,26,111
1485,5323,325,3036
1486,1730,270,1295
1487,2,0,0
1488,610,81,112
1489,1,0,1
1490,1,0,1
1491,7,0,6
1492,9,0,9
1493,3,0,3
1494,2,0,2
1495,9,0,9
1496,1,0,1
1497,5,2,3
1498,9,0,9
1499,1,0,1
1500,12,2,10
1501,1,0,1
1502,3,0,2
1503,1,0,1
1504,206,31,165
1505,1,1,0
1506,1,0,1
1507,3,0,3
1508,1,0,1
1509,8,2,6
1510,4,0,4
1511,66,0,32
1512,63,5,58
1513,6,0,6
1514,2,0,2
1515,151,26,112
1516,5325,327,3121
1517,1732,273,1302
1518,1,0,0
1519,660,81,122
1520,1,0,1
1521,1,0,1
1522,7,0,6
1523,9,0,9
1524,3,0,3
1525,2,0,2
1526,9,0,9
1527,1,0,1
1528,5,2,3
1529,9,0,9
1530,1,0,1
1531,12,2,10
1532,1,0,1
1533,3,0,2
1534,1,0,1
1535,206,31,165
1536,1,1,0
1537,1,0,1
1538,3,0,3
1539,1,0,1
1540,8,2,6
1541,4,0,4
1542,66,0,32
1543,63,5,58
1544,2,0,2
1545,159,28,112
1546,5328,328,3250
1547,1736,274,1304
1548,1,0,0
1549,667,81,125
1550,1,0,1
1551,1,0,1
1552,7,0,6
1553,9,0,9
1554,3,0,3
1555,2,0,2
1556,9,0,9
1557,1,0,1
1558,5,2,3
1559,9,0,9
1560,1,0,1
1561,12,2,10
1562,1,0,1
1563,3,0,3
1564,1,0,1
1565,206,31,165
1566,1,1,0
1567,1,0,1
1568,3,0,3
1569,1,0,1
1570,8,2,6
1571,4,0,4
1572,66,0,32
1573,63,5,58
1574,2,0,2
1575,188,30,116
1576,5328,332,3371
1577,1739,278,1310
1578,1,0,0
1579,676,81,129
1580,1,0,1
1581,1,0,1
1582,7,0,6
1583,10,0,9
1584,3,0,3
1585,2,0,2
1586,9,0,9
1587,1,0,1
1588,5,2,3
1589,9,0,9
1590,1,0,1
1591,12,2,10
1592,1,0,1
1593,3,0,3
1594,1,0,1
1595,1,0,0
1596,206,31,165
1597,1,1,0
1598,1,0,1
1599,3,0,3
1600,1,0,1
1601,8,2,6
1602,4,0,4
1603,66,0,32
1604,63,5,58
1605,2,0,2
1606,198,30,116
1607,5328,334,3495
1608,1746,282,1319
1609,1,0,1
1610,684,81,134
1611,1,0,1
1612,1,0,1
1613,7,0,6
1614,10,0,9
1615,3,0,3
1616,2,0,2
1617,9,0,9
1618,1,0,1
1619,5,2,3
1620,9,0,9
1621,1,0,1
1622,12,2,10
1623,1,0,1
1624,3,0,3
1625,1,0,1
1626,1,0,0
1627,206,31,165
